Driver,Lap,LapTime,Sector1,Sector2,Sector3,MaxSpeed,AvgSpeed,MinSpeed,MaxThrottle,AvgThrottle,MinThrottle,MaxBrake,AvgBrake,BrakingSamples,MinGear,MaxGear,MostUsedGear,GearChanges,MaxRPM,AvgRPM,MinRPM,DRSUsage,TelemetrySamples
PIA,7,84.418,27.738,28.574,28.106,327.0,245.65900805653797,69.0,100.0,75.6860269160585,0.0,True,0.13228346456692913,84,2,8,8,31,11821.0,10503.279576218738,6088.0,0.0,635
PIA,8,84.57,27.665,28.777,28.128,330.0,244.0148517909391,71.0,100.0,75.74989817474771,0.0,True,0.1290824261275272,83,2,8,8,32,11786.0,10491.227150273955,6116.0,0.0,643
PIA,9,84.375,27.637,28.751,27.987,331.0,244.01961037704314,70.0,100.0,74.87778084142946,0.0,True,0.12264150943396226,78,2,8,8,31,12110.0,10484.651954456041,5998.0,0.0,636
PIA,10,84.077,27.687,28.554,27.836,331.0,246.7259898408378,71.0,100.0,75.66716629598444,0.0,True,0.1391035548686244,90,2,8,8,30,11865.0,10560.950073342266,6269.0,0.0,647
PIA,11,84.247,27.6,28.726,27.921,331.0,247.19399254770352,70.0,100.0,75.247295662479,0.0,True,0.13354037267080746,86,2,8,8,30,11736.0,10544.624292368919,6139.0,0.0,644
PIA,12,84.748,27.848,28.86,28.04,329.0,244.20754822204037,70.0,100.0,76.5100360384917,0.0,True,0.11093990755007704,72,2,8,8,32,11927.0,10489.76429421693,6267.0,0.0,649
PIA,13,84.67,27.747,28.831,28.092,330.0,243.50596700085453,66.0,100.0,74.45132364901384,0.0,True,0.1265625,81,2,8,8,31,11718.0,10496.782349857962,5665.0,0.0,640
PIA,14,85.048,27.812,29.03,28.206,330.0,242.70587976690732,69.0,100.0,75.76310070854774,0.0,True,0.1267175572519084,83,2,8,8,32,12243.0,10485.51163747881,6172.0,0.0,655
PIA,15,85.166,27.84,29.099,28.227,330.0,242.3061363784018,69.0,100.0,75.53407672041453,0.0,True,0.1293759512937595,85,2,8,8,29,12113.0,10464.166046923503,6197.0,0.0,657
PIA,16,89.939,27.891,29.279,32.769,330.0,229.22803356644823,68.0,100.0,70.23178961437623,0.0,True,0.16666666666666666,114,2,8,8,33,11710.0,10223.46875852456,6166.0,0.0,684
PIA,17,104.25,46.989,29.31,27.951,322.0,199.69208559744433,0.0,100.0,64.95626830406658,0.0,True,0.16336633663366337,132,1,8,8,39,11781.0,9817.268884128423,3944.0,0.0,808
PIA,18,84.028,27.464,28.817,27.747,333.0,248.03451783235775,69.0,100.0,74.36073495891839,0.0,True,0.12841091492776885,80,2,8,8,33,11729.0,10504.021159497941,6159.0,0.0,623
PIA,19,84.602,27.593,28.979,28.03,332.0,244.23890706779284,72.0,100.0,72.67257166695474,0.0,True,0.12519561815336464,80,2,8,8,30,11781.0,10471.016890732664,6192.0,0.0,639
PIA,20,83.986,27.418,28.823,27.745,332.0,245.17084821691168,71.0,100.0,74.27139800731216,0.0,True,0.12264150943396226,78,2,8,8,32,11768.0,10493.800434498193,6273.0,0.0,636
HAM,1,89.674,,30.629,28.773,330.0,219.2339237179239,0.0,104.0,71.21784937974876,0.0,True,0.2,138,1,8,8,52,12218.0,10581.154464434894,4223.0,0.0,690
HAM,2,86.043,27.701,29.754,28.588,342.0,239.8827948208163,65.0,100.0,69.45100026823498,0.0,True,0.19469026548672566,132,2,8,8,38,12213.0,10470.138570960691,5537.0,9.144542772861357,678
HAM,3,85.63,27.495,29.688,28.447,343.0,241.3893525357902,70.0,100.0,70.4616064843798,0.0,True,0.18335901386748846,119,3,8,8,34,12248.0,10399.533180607208,5121.0,16.024653312788907,649
HAM,4,85.722,27.65,29.626,28.446,341.0,241.3222210807018,72.0,100.0,74.08998993644249,0.0,True,0.16591251885369532,110,3,8,8,33,12206.0,10439.589673111434,5286.0,8.295625942684765,663
HAM,5,84.771,27.451,29.134,28.186,339.0,244.67091134097677,69.0,100.0,75.15358515294224,0.0,True,0.1633587786259542,107,3,8,8,33,12100.0,10529.789692448761,4959.0,0.0,655
HAM,6,84.919,27.565,29.213,28.141,334.0,242.25783272845763,69.0,100.0,73.37945126339568,0.0,True,0.1643835616438356,108,2,8,8,33,11993.0,10557.228380416123,5868.0,0.0,657
HAM,7,85.205,27.635,29.267,28.303,335.0,241.89909297908287,64.0,100.0,73.70827292703648,0.0,True,0.16563467492260062,107,2,8,8,37,12055.0,10547.858528000423,5393.0,0.0,646
HAM,8,84.871,27.605,28.975,28.291,334.0,243.42930981154296,68.0,100.0,73.36734904484686,0.0,True,0.1671875,107,3,8,8,33,12049.0,10489.78718812069,5178.0,0.0,640
HAM,9,85.035,27.79,29.067,28.178,334.0,242.90480035424892,72.0,100.0,74.42124127977084,0.0,True,0.16049382716049382,104,3,8,8,33,11978.0,10510.775426661045,5369.0,0.0,648
HAM,10,84.909,27.537,29.196,28.176,335.0,243.42996189603502,68.0,100.0,75.15362282348266,0.0,True,0.14285714285714285,93,3,8,8,32,12183.0,10479.604409737281,4941.0,0.0,651
HAM,11,84.938,27.64,29.078,28.22,332.0,244.49522332001254,68.0,100.0,76.33717995454454,0.0,True,0.15313935681470137,100,3,8,8,32,12138.0,10530.907455766655,5033.0,0.0,653
HAM,12,84.932,27.672,28.987,28.273,333.0,244.24605667332477,69.0,100.0,76.01448354324211,0.0,True,0.15993788819875776,103,2,8,8,36,12132.0,10625.306751376656,5977.0,0.0,644
HAM,13,85.329,27.618,29.205,28.506,336.0,242.82407985626145,68.0,100.0,75.05221559866621,0.0,True,0.16434108527131783,106,2,8,8,34,12284.0,10609.212622350226,5752.0,0.0,645
HAM,14,85.817,27.774,29.496,28.547,335.0,242.20186329319904,65.0,100.0,77.14039845432913,0.0,True,0.16084977238239756,106,2,8,8,34,12162.0,10622.557354409471,5701.0,0.0,659
HAM,15,90.365,27.855,29.557,32.953,337.0,229.43279098164928,67.0,100.0,72.5852763172998,0.0,True,0.1906116642958748,134,2,8,8,37,12158.0,10380.676870666732,5857.0,0.0,703
HAM,16,105.664,47.705,29.604,28.355,323.0,197.48299564292324,0.0,100.0,68.20980282372986,0.0,True,0.18159203980099503,146,1,8,8,42,12323.0,9724.166344399817,3846.0,0.0,804
HAM,17,84.843,27.547,29.109,28.187,333.0,245.31727583686387,68.0,100.0,74.57955969875323,0.0,True,0.15653495440729484,103,3,8,8,30,11959.0,10445.527500230657,5131.0,0.0,658
HAM,18,84.831,27.403,29.345,28.083,341.0,243.19508397390914,70.0,100.0,73.44489591853646,0.0,True,0.16031746031746033,101,3,8,8,32,12140.0,10428.510359532293,5059.0,6.984126984126984,630
HAM,19,84.649,27.623,29.0,28.026,331.0,244.0062147681038,68.0,100.0,75.06743106517666,0.0,True,0.14873417721518986,94,3,8,8,32,11847.0,10399.85011800108,4928.0,0.0,632
HAM,20,84.64,27.535,29.101,28.004,345.0,245.82654522523308,64.0,100.0,75.52413211438235,0.0,True,0.15926493108728942,104,2,8,8,36,12459.0,10620.594073804341,5581.0,19.142419601837673,653
